"Box plot","LOC Gene ID","Project ID","Experiment ID","Experiment name","Variety","Development stage","Tissue","Expression value"
"","LOC_Os01g01060","SRP047482","SRX738069","Anther_Normal","Nipponbare","before flowering","Anther","16.9967"
"","LOC_Os01g01060","DRP001762","DRX014510","Anther_WT","Nipponbare","flowering","Anther","123.298"
"","LOC_Os01g01060","DRP000391","DRX000661","Callus_Normal","Nipponbare","N6D medium","Callus","60.0773"
"","LOC_Os01g01060","SRP039045","SRX477950","Leaf","Nipponbare","","Leaf","2.67055"
"","LOC_Os01g01060","DRP002329","DRX017638","Leaf_35S:OSH1_-GR+DEX_24h_r1","Nipponbare","21 days seedling","Leaf","97.7493"
"","LOC_Os01g01060","SRP052309","SRX844804","Leaf_Osbhlh148-DR_r2","Nipponbare","45 days old plant","Leaf","30.7899"
"","LOC_Os01g01060","SRP052309","SRX844805","Leaf_Osbhlh148-WW_r1","Nipponbare","45 days old plant","Leaf","58.433"
"","LOC_Os01g01060","SRP052309","SRX844806","Leaf_Osbhlh148-WW_r2","Nipponbare","45 days old plant","Leaf","56.9376"
"","LOC_Os01g01060","SRP052310","SRX844813","Leaf_Oshsfa2e-DR_r1","Nipponbare","45 days old plant","Leaf","35.3718"
"","LOC_Os01g01060","SRP052310","SRX844814","Leaf_Oshsfa2e-DR_r2","Nipponbare","45 days old plant","Leaf","30.1176"
"","LOC_Os01g01060","SRP052310","SRX844815","Leaf_Oshsfa2e-WW_r1","Nipponbare","45 days old plant","Leaf","39.6897"
"","LOC_Os01g01060","SRP052310","SRX844816","Leaf_Oshsfa2e-WW_r2","Nipponbare","45 days old plant","Leaf","35.6139"
"","LOC_Os01g01060","SRP057260","SRX997484","Leaf_PXO99A_BLS256 Tal11b_r1","Nipponbare","28 days seedling","Leaf","39.351"
"","LOC_Os01g01060","SRP057260","SRX997485","Leaf_PXO99A_BLS256 Tal11b_r2","Nipponbare","28 days seedling","Leaf","48.9891"
"","LOC_Os01g01060","SRP057260","SRX997480","Leaf_PXO99A_BLS256 Tal2a_r1","Nipponbare","28 days seedling","Leaf","32.0248"
"","LOC_Os01g01060","SRP057260","SRX997481","Leaf_PXO99A_BLS256 Tal2a_r2","Nipponbare","28 days seedling","Leaf","26.1555"
"","LOC_Os01g01060","SRP057260","SRX997482","Leaf_PXO99A_dTal280_r1","Nipponbare","28 days seedling","Leaf","9.4951"
"","LOC_Os01g01060","SRP057260","SRX997483","Leaf_PXO99A_dTal280_r2","Nipponbare","28 days seedling","Leaf","18.8345"
"","LOC_Os01g01060","SRP049212","SRX739680","Leaf_r1","Nipponbare","14 days seedling","Leaf","36.5785"
"","LOC_Os01g01080","SRP061677","SRX1122011","Root_DCL3a_-Pi","Nipponbare","35 days seedling","Root","47.6619"
"","LOC_Os01g01080","SRP061677","SRX1122012","Root_DCL3a_-Pi","Nipponbare","35 days seedling","Root","48.1448"
"","LOC_Os01g01080","SRP061677","SRX1122013","Root_DCL3a_-Pi","Nipponbare","35 days seedling","Root","40.1657"
"","LOC_Os01g01080","DRP000391","DRX000669","Root_Normal","Nipponbare","7 days seedling","Root","75.2442"
"","LOC_Os01g01080","SRP061677","SRX1122020","Root_WT_+Pi","Nipponbare","35 days seedling","Root","45.6138"
"","LOC_Os01g01080","SRP061677","SRX1122021","Root_WT_+Pi","Nipponbare","35 days seedling","Root","40.9282"
